i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
38,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,ctx,5832512,0,0,0,0,0,0,848,473.681831
38,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,heap,5832512,0,0,0,0,0,0,784,473.681865
38,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,usage,5832512,0,0,0,0,0,0,37748736,473.681889
44,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,write,32026688,293692833,3149648,51648,293692833,205327540,211550208,3600001876612,7.375946
44,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,stack,32026688,0,0,0,0,0,0,3296,7.376065
44,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,ctx,32026688,0,0,0,0,0,0,624,7.376123
44,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,heap,32026688,0,0,0,0,0,0,784,7.376171
44,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,usage,32026688,0,0,0,0,0,0,3014656,7.376226
45,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,write,33649024,266328202,3246146,50816,266328202,201267147,208142336,3600002813857,7.388347
45,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,stack,33649024,0,0,0,0,0,0,3296,7.388439
45,bench_p26_wt,bench_p26_wt_logging,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,ctx,33649024,0,0,0,0,0,0,624,7.388491
