i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,write,1476864,603847883,706096,73115,603847883,180760576,299479040,3600193879992,69.061783
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,stack,1476864,0,0,0,0,0,0,3328,69.061880
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,ctx,1476864,0,0,0,0,0,0,608,69.061923
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,heap,1476864,0,0,0,0,0,0,4368,69.061960
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,2048,32768,134217728,0,2097152,3600000000000,-1,0,usage,1476864,0,0,0,0,0,0,4370432,69.061994
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,write,1196608,407631784,1113920,69620,407631784,285163520,285163520,3600240390720,41.848655
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,stack,1196608,0,0,0,0,0,0,3328,41.848729
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,ctx,1196608,0,0,0,0,0,0,608,41.848761
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,heap,1196608,0,0,0,0,0,0,8464,41.848787
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,4096,32768,134217728,0,2097152,3600000000000,-1,0,usage,1196608,0,0,0,0,0,0,3809280,41.848812
47,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,write,20776832,2117645381,957948,69499,2117645381,245234688,284667904,3600028685000,69.197447
47,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,stack,20776832,0,0,0,0,0,0,3488,69.197583
47,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,ctx,20776832,0,0,0,0,0,0,848,69.197644
47,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,heap,20776832,0,0,0,0,0,0,1296,69.197697
47,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,usage,20776832,0,0,0,0,0,0,32710656,69.197747
45,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,write,45680768,4648159873,1340772,63845,4648159873,247250944,261509120,3600043773992,78.079046
45,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,stack,45680768,0,0,0,0,0,0,3552,78.079152
45,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,ctx,45680768,0,0,0,0,0,0,848,78.079209
45,bench_p26_wt,bench_p26_wt_many,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,heap,45680768,0,0,0,0,0,0,784,78.079258
