i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,heap,9793024,0,0,0,0,0,0,784,411.682598
37,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,usage,9793024,0,0,0,0,0,0,35651584,411.682625
38,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,write,5832512,78100714032,266958,8192,78100714032,30626579,33554432,3600056826857,465.252607
38,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,stack,5832512,0,0,0,0,0,0,3248,465.252678
38,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,ctx,5832512,0,0,0,0,0,0,848,465.252717
38,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,heap,5832512,0,0,0,0,0,0,784,465.252744
38,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,usage,5832512,0,0,0,0,0,0,37748736,465.252767
42,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,write,42267264,263519164,3253151,50760,263519164,201324716,207912960,3600174518052,7.517892
42,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,stack,42267264,0,0,0,0,0,0,3296,7.517999
42,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,ctx,42267264,0,0,0,0,0,0,624,7.518050
42,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,heap,42267264,0,0,0,0,0,0,784,7.518099
42,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,usage,42267264,0,0,0,0,0,0,2654208,7.518145
45,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,write,44320064,184466414,3366046,49856,184466414,197398263,204210176,3601431470981,7.678463
45,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,stack,44320064,0,0,0,0,0,0,3296,7.678558
45,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,ctx,44320064,0,0,0,0,0,0,624,7.678612
