i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,ctx,7277760,0,0,0,0,0,0,512,20.268997
27,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,heap,7277760,0,0,0,0,0,0,784,20.269022
27,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,usage,7277760,0,0,0,0,0,0,4669440,20.269043
32,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,write,6050624,1084706753,1477398,65801,1084706753,242490624,269520896,3600100462376,20.487942
32,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,stack,6050624,0,0,0,0,0,0,3152,20.488028
32,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,ctx,6050624,0,0,0,0,0,0,512,20.488067
32,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,heap,6050624,0,0,0,0,0,0,784,20.488100
32,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,usage,6050624,0,0,0,0,0,0,4476928,20.488135
37,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,write,644736,482125319,1112992,69562,482125319,284925952,284925952,3600234377496,5.478137
37,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,stack,644736,0,0,0,0,0,0,3072,5.478208
