i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,write,18130304,84988505,4090256,18530,21773146880,2094211072,2428764160,3600563765504,58.139762
33,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,stack,18130304,0,0,0,0,0,0,3072,58.139849
33,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,ctx,18130304,0,0,0,0,0,0,608,58.139891
33,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,heap,18130304,0,0,0,0,0,0,1296,58.139929
33,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,usage,18130304,0,0,0,0,0,0,4980736,58.139963
37,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,write,8148224,48976634,1829776,8291,100304146432,936845312,1086717952,3600709881856,14.880617
37,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,stack,8148224,0,0,0,0,0,0,3072,14.880687
37,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,ctx,8148224,0,0,0,0,0,0,608,14.880720
37,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,heap,8148224,0,0,0,0,0,0,8720,14.880747
37,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4096,64,3,usage,8148224,0,0,0,0,0,0,4980736,14.880772
39,bench_p26_wt,bench_p26_wt_many,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,write,10612032,135022995,220648,910,11716790408,112971776,119275520,3600009966104,174.531047
39,bench_p26_wt,bench_p26_wt_many,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,stack,10612032,0,0,0,0,0,0,3312,174.531177
