i,suite,case,READ_SIZE,SIM_TIME,FS,NO_FRUNCATE,NO_SET,SIM_SIZE,CHUNK,SKIP_WARMUP,DISK_GEOMETRY,FILE_SIZE,FILE_COUNT,DISK_SIZE,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,17734208,0,0,0,0,0,0,3072,54.650129
34,bench_p26_wt,bench_p26_wt_random,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,17734208,0,0,0,0,0,0,608,54.650162
34,bench_p26_wt,bench_p26_wt_random,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,17734208,0,0,0,0,0,0,1552,54.650189
34,bench_p26_wt,bench_p26_wt_random,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,17734208,0,0,0,0,0,0,6291456,54.650214
33,bench_p26_wt,bench_p26_wt_random,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,18130304,84988505,4090256,18530,21773146880,2094211072,2428764160,3600563765504,54.691728
33,bench_p26_wt,bench_p26_wt_random,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,18130304,0,0,0,0,0,0,3072,54.691783
33,bench_p26_wt,bench_p26_wt_random,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,18130304,0,0,0,0,0,0,608,54.691813
33,bench_p26_wt,bench_p26_wt_random,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,18130304,0,0,0,0,0,0,1296,54.691838
33,bench_p26_wt,bench_p26_wt_random,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,18130304,0,0,0,0,0,0,4980736,54.691861
37,bench_p26_wt,bench_p26_wt_random,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,8148224,48976634,1829776,8291,100304146432,936845312,1086717952,3600709881856,14.941610
37,bench_p26_wt,bench_p26_wt_random,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,8148224,0,0,0,0,0,0,3072,14.941709
37,bench_p26_wt,bench_p26_wt_random,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,8148224,0,0,0,0,0,0,608,14.941743
37,bench_p26_wt,bench_p26_wt_random,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,8148224,0,0,0,0,0,0,8720,14.941768
37,bench_p26_wt,bench_p26_wt_random,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,8148224,0,0,0,0,0,0,4980736,14.941792
39,bench_p26_wt,bench_p26_wt_many,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,9752832,134687947,245956,1010,11793911828,125929472,132382720,3600007293308,161.557826
39,bench_p26_wt,bench_p26_wt_many,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,9752832,0,0,0,0,0,0,3312,161.557971
39,bench_p26_wt,bench_p26_wt_many,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,9752832,0,0,0,0,0,0,848,161.558030
39,bench_p26_wt,bench_p26_wt_many,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,9752832,0,0,0,0,0,0,1296,161.558081
39,bench_p26_wt,bench_p26_wt_many,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,9752832,0,0,0,0,0,0,34078720,161.558128
40,bench_p26_wt,bench_p26_wt_many,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10322944,133879161,258202,1063,12667827860,132199424,139329536,3600018041084,170.180638
