i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,ctx,44747840,0,0,0,0,0,0,608,49.806938
27,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,heap,44747840,0,0,0,0,0,0,784,49.806986
27,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,usage,44747840,0,0,0,0,0,0,7995392,49.807033
30,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,write,44537216,101495220,4160913,6116,2054495614,793651392,801636352,3600114943642,50.371045
30,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,stack,44537216,0,0,0,0,0,0,3312,50.371149
30,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,ctx,44537216,0,0,0,0,0,0,608,50.371203
30,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,heap,44537216,0,0,0,0,0,0,784,50.371251
30,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,usage,44537216,0,0,0,0,0,0,7995392,50.371297
31,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,write,44288064,101814388,4119966,6403,2108768920,829675008,839254016,3600007869256,50.740388
31,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,stack,44288064,0,0,0,0,0,0,3312,50.740494
31,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,ctx,44288064,0,0,0,0,0,0,608,50.740548
31,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,heap,44288064,0,0,0,0,0,0,784,50.740594
31,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,usage,44288064,0,0,0,0,0,0,8126464,50.740639
32,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,write,42987648,102489104,4037933,6727,2236322615,874440960,881721344,3600004335637,51.350925
32,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,stack,42987648,0,0,0,0,0,0,3312,51.351031
32,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,ctx,42987648,0,0,0,0,0,0,608,51.351081
32,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,heap,42987648,0,0,0,0,0,0,784,51.351127
