i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,write,6248384,18768773120,1611936,48916,18768773120,174547746,200359936,3600202316678,5.637070
37,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,stack,6248384,0,0,0,0,0,0,3296,5.637141
37,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,ctx,6248384,0,0,0,0,0,0,608,5.637172
37,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,heap,6248384,0,0,0,0,0,0,8464,5.637198
37,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4096,0,64,64,2097152,0,3600000000000,usage,6248384,0,0,0,0,0,0,4780032,5.637232
49,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,write,33499072,44747294720,998059,31301,44747294720,118764870,128208896,3600002604338,40.278927
49,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,stack,33499072,0,0,0,0,0,0,3488,40.279059
49,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,ctx,33499072,0,0,0,0,0,0,848,40.279118
49,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,heap,33499072,0,0,0,0,0,0,4368,40.279166
49,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,usage,33499072,0,0,0,0,0,0,31920128,40.279213
48,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,write,37624320,39762579456,1112795,34706,39762579456,132331945,142155776,3600001278091,45.342602
48,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,stack,37624320,0,0,0,0,0,0,3488,45.342712
48,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,ctx,37624320,0,0,0,0,0,0,848,45.342768
48,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,heap,37624320,0,0,0,0,0,0,2320,45.342818
48,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,usage,37624320,0,0,0,0,0,0,31920128,45.342863
47,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,write,44144256,31841063936,1294249,40125,31841063936,153795797,164352000,3600001013455,50.354236
47,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,stack,44144256,0,0,0,0,0,0,3488,50.354341
47,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,ctx,44144256,0,0,0,0,0,0,848,50.354397
47,bench_p26_wt,bench_p26_wt_many,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,heap,44144256,0,0,0,0,0,0,1296,50.354445
