i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_random,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,3046016,134790370,700540,11598,3387068339,1434705920,1520173056,3602058562121,17.812111
37,bench_p26_wt,bench_p26_wt_random,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,3046016,0,0,0,0,0,0,3200,17.812184
37,bench_p26_wt,bench_p26_wt_random,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,3046016,0,0,0,0,0,0,608,17.812213
37,bench_p26_wt,bench_p26_wt_random,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,3046016,0,0,0,0,0,0,8464,17.812237
37,bench_p26_wt,bench_p26_wt_random,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,3046016,0,0,0,0,0,0,5767168,17.812261
49,bench_p26_wt,bench_p26_wt_many,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,10247104,136291728,211376,3399,9626559107,432898048,445513728,3600131461049,119.712859
49,bench_p26_wt,bench_p26_wt_many,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,10247104,0,0,0,0,0,0,3312,119.712978
49,bench_p26_wt,bench_p26_wt_many,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,10247104,0,0,0,0,0,0,848,119.713036
49,bench_p26_wt,bench_p26_wt_many,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,10247104,0,0,0,0,0,0,4368,119.713109
49,bench_p26_wt,bench_p26_wt_many,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,10247104,0,0,0,0,0,0,34340864,119.713160
48,bench_p26_wt,bench_p26_wt_many,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,12983552,133719872,268750,2160,12477982992,275200000,283115520,3600005583920,158.191169
48,bench_p26_wt,bench_p26_wt_many,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,12983552,0,0,0,0,0,0,3312,158.191290
48,bench_p26_wt,bench_p26_wt_many,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,12983552,0,0,0,0,0,0,848,158.191353
