i,suite,case,DISK_GEOMETRY,NO_SET,DISK_SIZE,FS,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,CHUNK,SIM_TIME,FILE_SIZE,SEED,SIM_SIZE,SIZE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,ctx,52481728,0,0,0,0,0,0,848,123.395078
32,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,heap,52481728,0,0,0,0,0,0,784,123.395123
32,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,usage,52481728,0,0,0,0,0,0,32210944,123.395167
33,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,write,44324608,22866004712,1453833,46672,22866004712,182331670,191168512,3600001053666,198.662398
33,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,stack,44324608,0,0,0,0,0,0,3488,198.662503
33,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,ctx,44324608,0,0,0,0,0,0,848,198.662554
33,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,heap,44324608,0,0,0,0,0,0,784,198.662602
33,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,usage,44324608,0,0,0,0,0,0,33816576,198.662652
34,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,write,34331456,34162970310,1189667,38992,34162970310,151436143,159711232,3600002771245,213.991842
34,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,stack,34331456,0,0,0,0,0,0,3488,213.991932
34,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,ctx,34331456,0,0,0,0,0,0,848,213.991976
34,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,heap,34331456,0,0,0,0,0,0,784,213.992013
34,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,usage,34331456,0,0,0,0,0,0,33554432,213.992047
35,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,write,24285632,46716576510,899019,30432,46716576510,116713002,124649472,3600002381262,299.663066
35,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,stack,24285632,0,0,0,0,0,0,3488,299.663160
35,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,ctx,24285632,0,0,0,0,0,0,848,299.663206
35,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,heap,24285632,0,0,0,0,0,0,784,299.663245
35,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,usage,24285632,0,0,0,0,0,0,34078720,299.663282
36,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,write,15604800,58261072456,635406,22528,58261072456,83702065,92274688,3600006691811,383.276589
36,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,stack,15604800,0,0,0,0,0,0,3248,383.276670
36,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,ctx,15604800,0,0,0,0,0,0,848,383.276707
36,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,heap,15604800,0,0,0,0,0,0,784,383.276739
36,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,usage,15604800,0,0,0,0,0,0,34603008,383.276769
38,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,write,5562112,74902615229,327101,10496,74902615229,38514715,42991616,3600024551049,423.808309
38,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,stack,5562112,0,0,0,0,0,0,3248,423.808384
38,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,ctx,5562112,0,0,0,0,0,0,848,423.808418
38,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,heap,5562112,0,0,0,0,0,0,784,423.808446
38,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,usage,5562112,0,0,0,0,0,0,37748736,423.808476
37,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,write,9467712,68414565617,442206,15232,68414565617,56901329,62390272,3600022280491,427.156805
37,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,stack,9467712,0,0,0,0,0,0,3248,427.156869
37,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,ctx,9467712,0,0,0,0,0,0,848,427.156909
37,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,heap,9467712,0,0,0,0,0,0,784,427.156935
37,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,usage,9467712,0,0,0,0,0,0,35651584,427.156958
