i,suite,case,SEED,SIM_TIME,CHUNK,FILE_SIZE,FS,SKIP_WARMUP,NO_SET,FILE_COUNT,DISK_GEOMETRY,SIM_SIZE,SIZE,NO_FRUNCATE,DISK_SIZE,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,write,18368,606058304,1117250,69998,606058304,285977229,286711808,3626534830199,28.073094
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,stack,18368,0,0,0,0,0,0,1984,28.073174
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,ctx,18368,0,0,0,0,0,0,384,28.073228
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,heap,18368,0,0,0,0,0,0,784,28.073275
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,usage,18368,0,0,0,0,0,0,2101248,28.073321
27,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,write,18368,575047524,1117250,69998,575047524,285977229,286711808,3625294398999,28.198251
27,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,stack,18368,0,0,0,0,0,0,1984,28.198330
27,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,ctx,18368,0,0,0,0,0,0,384,28.198365
27,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,heap,18368,0,0,0,0,0,0,784,28.198408
27,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,usage,18368,0,0,0,0,0,0,2101248,28.198436
32,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,write,18304,681343872,1111211,69620,681343872,284431376,285163520,3610091016752,28.198086
32,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,stack,18304,0,0,0,0,0,0,1984,28.198151
32,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,ctx,18304,0,0,0,0,0,0,384,28.198194
32,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,heap,18304,0,0,0,0,0,0,784,28.198230
32,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,usage,18304,0,0,0,0,0,0,2101248,28.198263
28,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,write,18368,586354096,1117250,69998,586354096,285977229,286711808,3625746661879,28.231304
28,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,stack,18368,0,0,0,0,0,0,1984,28.231381
28,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,ctx,18368,0,0,0,0,0,0,384,28.231421
28,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,heap,18368,0,0,0,0,0,0,784,28.231453
28,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,8,usage,18368,0,0,0,0,0,0,2101248,28.231482
26,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,write,18368,574936144,1117250,69998,574936144,285977229,286711808,3625289943799,28.242788
26,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,stack,18368,0,0,0,0,0,0,1984,28.242851
26,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,ctx,18368,0,0,0,0,0,0,384,28.242895
26,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,heap,18368,0,0,0,0,0,0,784,28.242932
26,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2,usage,18368,0,0,0,0,0,0,2101248,28.242969
37,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,write,17600,3933679616,1075118,67358,3933679616,275193009,275898368,3623780137763,9.773060
37,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,stack,17600,0,0,0,0,0,0,1888,9.773129
37,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,ctx,17600,0,0,0,0,0,0,384,9.773160
37,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,heap,17600,0,0,0,0,0,0,12304,9.773186
37,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,usage,17600,0,0,0,0,0,0,2101248,9.773211
49,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,write,2406272,86355918848,89390,2445,86355918848,7728674,10014720,3600172754566,328.138999
49,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,stack,2406272,0,0,0,0,0,0,2240,328.139115
49,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,ctx,2406272,0,0,0,0,0,0,640,328.139170
49,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,heap,2406272,0,0,0,0,0,0,6160,328.139225
49,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,usage,2406272,0,0,0,0,0,0,9928704,328.139269
48,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,write,2931008,85778906112,104715,2820,85778906112,8995266,11550720,3600122767974,638.151074
48,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,stack,2931008,0,0,0,0,0,0,2288,638.151199
48,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,ctx,2931008,0,0,0,0,0,0,640,638.151261
48,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,heap,2931008,0,0,0,0,0,0,3088,638.151314
48,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,usage,2931008,0,0,0,0,0,0,11378688,638.151363
47,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,write,3184256,85501165056,111962,3002,85501165056,9605630,12296192,3600114205658,752.652300
47,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,stack,3184256,0,0,0,0,0,0,2288,752.652410
47,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,ctx,3184256,0,0,0,0,0,0,640,752.652464
47,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,heap,3184256,0,0,0,0,0,0,1552,752.652510
47,bench_p26_wt,bench_p26_wt_many,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,usage,3184256,0,0,0,0,0,0,12034048,752.652554
