i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,usage,46592256,0,0,0,0,0,0,1048576,54.446349
31,bench_p26_wt,bench_p26_wt_random,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,write,86982464,93374220,4245397,73492,3090113702,2173643264,9632743424,3600005277266,54.907674
31,bench_p26_wt,bench_p26_wt_random,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,stack,86982464,0,0,0,0,0,0,3312,54.907764
31,bench_p26_wt,bench_p26_wt_random,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,ctx,86982464,0,0,0,0,0,0,608,54.907807
31,bench_p26_wt,bench_p26_wt_random,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,heap,86982464,0,0,0,0,0,0,1296,54.907835
31,bench_p26_wt,bench_p26_wt_random,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,usage,86982464,0,0,0,0,0,0,786432,54.907862
32,bench_p26_wt,bench_p26_wt_random,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,write,56452672,86580210,4647005,104229,3212260869,2379266560,13661503488,3600038895711,55.838793
32,bench_p26_wt,bench_p26_wt_random,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,stack,56452672,0,0,0,0,0,0,3312,55.838894
32,bench_p26_wt,bench_p26_wt_random,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,ctx,56452672,0,0,0,0,0,0,608,55.838944
32,bench_p26_wt,bench_p26_wt_random,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,heap,56452672,0,0,0,0,0,0,1296,55.838986
32,bench_p26_wt,bench_p26_wt_random,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,usage,56452672,0,0,0,0,0,0,1179648,55.839028
