i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,write,4894080,186426710,382017,76405,186426710,83047335,312954880,3600012977621,8.447449
28,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,stack,4894080,0,0,0,0,0,0,1984,8.447569
28,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,ctx,4894080,0,0,0,0,0,0,384,8.447625
28,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,heap,4894080,0,0,0,0,0,0,784,8.447699
28,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,usage,4894080,0,0,0,0,0,0,20480,8.447747
29,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,write,4721408,330935032,663648,73742,330935032,155651544,302047232,3600029818312,14.414279
29,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,stack,4721408,0,0,0,0,0,0,1984,14.414409
29,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,ctx,4721408,0,0,0,0,0,0,384,14.414466
29,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,heap,4721408,0,0,0,0,0,0,784,14.414514
29,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,usage,4721408,0,0,0,0,0,0,20480,14.414560
30,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,write,2375360,318947967,630542,74050,318947967,154409686,303308800,3600139688890,15.248431
30,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,stack,2375360,0,0,0,0,0,0,1984,15.248561
30,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,ctx,2375360,0,0,0,0,0,0,384,15.248620
30,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,heap,2375360,0,0,0,0,0,0,784,15.248671
30,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,usage,2375360,0,0,0,0,0,0,24576,15.248718
31,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,write,1875392,372326054,732107,73088,372326054,182095044,299368448,3600151127420,18.975164
31,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,stack,1875392,0,0,0,0,0,0,1984,18.975298
31,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,ctx,1875392,0,0,0,0,0,0,384,18.975355
31,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,heap,1875392,0,0,0,0,0,0,784,18.975402
31,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,usage,1875392,0,0,0,0,0,0,28672,18.975447
