i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,stack,121232576,0,0,0,0,0,0,3312,69.433206
31,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,ctx,121232576,0,0,0,0,0,0,608,69.433251
31,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,heap,121232576,0,0,0,0,0,0,1296,69.433290
31,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,usage,121232576,0,0,0,0,0,0,655360,69.433332
30,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,write,154962048,89951448,4959613,19457,3350819664,2539321856,2550267904,3600002559216,73.108956
30,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,stack,154962048,0,0,0,0,0,0,3312,73.109040
30,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,ctx,154962048,0,0,0,0,0,0,608,73.109079
30,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,heap,154962048,0,0,0,0,0,0,1296,73.109110
30,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,4096,31,-1,134217728,64,usage,154962048,0,0,0,0,0,0,655360,73.109139
28,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,write,233153792,71672974,6602398,25916,3881103434,3380427776,3396861952,3600005785982,77.287033
28,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,stack,233153792,0,0,0,0,0,0,3312,77.287119
28,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,ctx,233153792,0,0,0,0,0,0,608,77.287158
28,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,heap,233153792,0,0,0,0,0,0,1296,77.287189
28,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1024,31,-1,134217728,16,usage,233153792,0,0,0,0,0,0,655360,77.287216
43,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,write,24652800,131201285,1231544,5003,2463342733,630550528,655753216,3600731708023,28.982213
43,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,stack,24652800,0,0,0,0,0,0,3312,28.982306
43,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,ctx,24652800,0,0,0,0,0,0,608,28.982348
