i,suite,case,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,CHUNK,SEED,SKIP_WARMUP,FS,SIM_SIZE,DISK_SIZE,FILE_COUNT,SIZE,DISK_SIM,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,4647680,4682860,707585,74229,335088511,155764797,304041984,3600028685518,7.053779
30,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,4647680,0,0,0,0,0,0,2000,7.053859
30,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,4647680,0,0,0,0,0,0,400,7.053899
30,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,4647680,0,0,0,0,0,0,784,7.053931
30,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,4647680,0,0,0,0,0,0,2572288,7.053961
32,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,1183424,1987615,622356,18589,312177778,152823705,304562176,3600174277966,7.445340
32,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,1183424,0,0,0,0,0,0,1856,7.445417
32,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,1183424,0,0,0,0,0,0,400,7.445455
32,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,1183424,0,0,0,0,0,0,784,7.445486
32,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,1183424,0,0,0,0,0,0,1228800,7.445514
35,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,150080,1359763,538904,2342,277349899,137191738,306970624,3600510600740,7.514041
35,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,150080,0,0,0,0,0,0,1760,7.514143
35,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,150080,0,0,0,0,0,0,400,7.514177
35,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,150080,0,0,0,0,0,0,784,7.514205
35,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,150080,0,0,0,0,0,0,524288,7.514235
31,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,2352384,2711837,651506,37155,319115175,153902486,304373760,3600088467212,7.934942
31,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,2352384,0,0,0,0,0,0,2000,7.935003
31,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,2352384,0,0,0,0,0,0,400,7.935032
31,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,2352384,0,0,0,0,0,0,784,7.935057
31,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,2352384,0,0,0,0,0,0,2400256,7.935101
