i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_logging,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,46206336,0,0,0,0,0,0,3168,16.078866
36,bench_p26_wt,bench_p26_wt_logging,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,46206336,0,0,0,0,0,0,528,16.078907
36,bench_p26_wt,bench_p26_wt_logging,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,46206336,0,0,0,0,0,0,784,16.078944
36,bench_p26_wt,bench_p26_wt_logging,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,46206336,0,0,0,0,0,0,3407872,16.078978
32,bench_p26_wt,bench_p26_wt_logging,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,29995456,102142089,2565614,17322,1112886539,276623391,283803648,3600000543050,17.873575
32,bench_p26_wt,bench_p26_wt_logging,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,29995456,0,0,0,0,0,0,3040,17.873649
32,bench_p26_wt,bench_p26_wt_logging,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,29995456,0,0,0,0,0,0,528,17.873684
32,bench_p26_wt,bench_p26_wt_logging,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,29995456,0,0,0,0,0,0,784,17.873724
32,bench_p26_wt,bench_p26_wt_logging,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,29995456,0,0,0,0,0,0,2195456,17.873753
31,bench_p26_wt,bench_p26_wt_logging,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,22047488,78788052,2857390,34672,1101073912,275376044,284033024,3600074659752,18.508357
31,bench_p26_wt,bench_p26_wt_logging,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,22047488,0,0,0,0,0,0,2976,18.508422
31,bench_p26_wt,bench_p26_wt_logging,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,22047488,0,0,0,0,0,0,528,18.508453
31,bench_p26_wt,bench_p26_wt_logging,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,22047488,0,0,0,0,0,0,784,18.508479
31,bench_p26_wt,bench_p26_wt_logging,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,22047488,0,0,0,0,0,0,2170880,18.508503
