i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
38,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,usage,52245184,0,0,0,0,0,0,7340032,14.479396
36,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,write,45096128,39393231,3500173,1093,353309454,277748569,286523392,3601276598830,15.044068
36,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,stack,45096128,0,0,0,0,0,0,3168,15.044144
36,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,ctx,45096128,0,0,0,0,0,0,528,15.044180
36,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,heap,45096128,0,0,0,0,0,0,784,15.044209
36,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,usage,45096128,0,0,0,0,0,0,3145728,15.044236
34,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,write,38566272,51865679,3019157,4361,512305045,278360553,285802496,3600684817702,15.660368
34,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,stack,38566272,0,0,0,0,0,0,3168,15.660456
34,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,ctx,38566272,0,0,0,0,0,0,528,15.660498
34,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,heap,38566272,0,0,0,0,0,0,784,15.660532
34,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,usage,38566272,0,0,0,0,0,0,2424832,15.660564
32,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,write,29117568,100790589,2512526,17323,1107835533,276637189,283820032,3600000325870,16.915535
32,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,stack,29117568,0,0,0,0,0,0,3168,16.915620
32,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,ctx,29117568,0,0,0,0,0,0,528,16.915660
32,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,heap,29117568,0,0,0,0,0,0,784,16.915692
32,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,usage,29117568,0,0,0,0,0,0,2195456,16.915721
30,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,write,20206528,81160779,2644572,69389,1105984508,273935049,284217344,3600016369022,17.482177
30,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,stack,20206528,0,0,0,0,0,0,2976,17.482253
30,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,ctx,20206528,0,0,0,0,0,0,528,17.482292
30,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,heap,20206528,0,0,0,0,0,0,784,17.482324
30,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,usage,20206528,0,0,0,0,0,0,2203648,17.482373
31,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,write,21886016,79247082,2837135,34669,1107565328,275352383,284008448,3600026892754,17.826807
31,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,stack,21886016,0,0,0,0,0,0,3104,17.826864
31,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,ctx,21886016,0,0,0,0,0,0,528,17.826896
31,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,heap,21886016,0,0,0,0,0,0,784,17.826922
31,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,usage,21886016,0,0,0,0,0,0,2179072,17.826946
