i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_many,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10712000,0,0,0,0,0,0,8944,68.352003
32,bench_p26_wt,bench_p26_wt_many,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10712000,0,0,0,0,0,0,7408,68.352100
32,bench_p26_wt,bench_p26_wt_many,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10712000,0,0,0,0,0,0,7940420,68.352178
32,bench_p26_wt,bench_p26_wt_many,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10712000,0,0,0,0,0,0,43289520,68.352241
30,bench_p26_wt,bench_p26_wt_many,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,9853568,161290240,1146216,69543,161290240,293431296,284848128,3600001454080,75.840777
30,bench_p26_wt,bench_p26_wt_many,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,9853568,0,0,0,0,0,0,8944,75.840964
30,bench_p26_wt,bench_p26_wt_many,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,9853568,0,0,0,0,0,0,7408,75.841061
30,bench_p26_wt,bench_p26_wt_many,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,9853568,0,0,0,0,0,0,8118468,75.841133
30,bench_p26_wt,bench_p26_wt_many,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,9853568,0,0,0,0,0,0,53611776,75.841201
35,bench_p26_wt,bench_p26_wt_many,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10483968,184565760,1145032,69536,184565760,293128192,284819456,3600137973760,77.769420
35,bench_p26_wt,bench_p26_wt_many,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10483968,0,0,0,0,0,0,8944,77.769601
35,bench_p26_wt,bench_p26_wt_many,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10483968,0,0,0,0,0,0,7408,77.769694
35,bench_p26_wt,bench_p26_wt_many,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10483968,0,0,0,0,0,0,7887412,77.769750
35,bench_p26_wt,bench_p26_wt_many,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10483968,0,0,0,0,0,0,43338128,77.769837
31,bench_p26_wt,bench_p26_wt_many,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10542464,173945344,1145670,69538,173945344,293291520,284827648,3600061539328,79.946664
31,bench_p26_wt,bench_p26_wt_many,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10542464,0,0,0,0,0,0,8992,79.946809
31,bench_p26_wt,bench_p26_wt_many,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10542464,0,0,0,0,0,0,7408,79.946885
31,bench_p26_wt,bench_p26_wt_many,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10542464,0,0,0,0,0,0,8007556,79.946944
31,bench_p26_wt,bench_p26_wt_many,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10542464,0,0,0,0,0,0,46675712,79.946991
36,bench_p26_wt,bench_p26_wt_many,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10509120,185027584,1145398,69568,185027584,293221888,284950528,3601744630784,81.580076
36,bench_p26_wt,bench_p26_wt_many,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10509120,0,0,0,0,0,0,8944,81.580186
36,bench_p26_wt,bench_p26_wt_many,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10509120,0,0,0,0,0,0,7408,81.580231
36,bench_p26_wt,bench_p26_wt_many,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10509120,0,0,0,0,0,0,7890212,81.580268
36,bench_p26_wt,bench_p26_wt_many,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10509120,0,0,0,0,0,0,43759232,81.580302
33,bench_p26_wt,bench_p26_wt_many,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10483712,183487488,1145286,69536,183487488,293193216,284819456,3600197710848,81.905156
33,bench_p26_wt,bench_p26_wt_many,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10483712,0,0,0,0,0,0,8944,81.905248
33,bench_p26_wt,bench_p26_wt_many,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10483712,0,0,0,0,0,0,7408,81.905291
33,bench_p26_wt,bench_p26_wt_many,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10483712,0,0,0,0,0,0,7907500,81.905330
33,bench_p26_wt,bench_p26_wt_many,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10483712,0,0,0,0,0,0,43315312,81.905364
34,bench_p26_wt,bench_p26_wt_many,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10438400,183860736,1145318,69536,183860736,293201408,284819456,3600225600512,82.026397
34,bench_p26_wt,bench_p26_wt_many,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10438400,0,0,0,0,0,0,8944,82.026477
34,bench_p26_wt,bench_p26_wt_many,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10438400,0,0,0,0,0,0,7408,82.026515
34,bench_p26_wt,bench_p26_wt_many,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10438400,0,0,0,0,0,0,7892348,82.026546
34,bench_p26_wt,bench_p26_wt_many,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10438400,0,0,0,0,0,0,43499824,82.026577
37,bench_p26_wt,bench_p26_wt_many,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10513920,185276416,1145428,69632,185276416,293229568,285212672,3604646647808,82.168671
37,bench_p26_wt,bench_p26_wt_many,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,10513920,0,0,0,0,0,0,8944,82.168747
37,bench_p26_wt,bench_p26_wt_many,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,10513920,0,0,0,0,0,0,7408,82.168793
37,bench_p26_wt,bench_p26_wt_many,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,10513920,0,0,0,0,0,0,7902124,82.168830
37,bench_p26_wt,bench_p26_wt_many,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,10513920,0,0,0,0,0,0,45174320,82.168858
42,bench_p26_wt,bench_p26_wt_logging,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16567104,132557312,1120664,69800,132557312,286889984,285900800,3600068435968,0.951229
42,bench_p26_wt,bench_p26_wt_logging,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16567104,0,0,0,0,0,0,8768,0.951487
44,bench_p26_wt,bench_p26_wt_logging,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16637312,133118976,1120902,69824,133118976,286950912,285999104,3601267258368,0.953948
42,bench_p26_wt,bench_p26_wt_logging,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16567104,0,0,0,0,0,0,7232,0.959951
44,bench_p26_wt,bench_p26_wt_logging,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16637312,0,0,0,0,0,0,8768,0.958686
42,bench_p26_wt,bench_p26_wt_logging,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16567104,0,0,0,0,0,0,135596,0.960299
44,bench_p26_wt,bench_p26_wt_logging,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16637312,0,0,0,0,0,0,7232,0.958914
42,bench_p26_wt,bench_p26_wt_logging,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16567104,0,0,0,0,0,0,11567344,0.960489
