i,suite,case,SKIP_WARMUP,CHUNK,SIM_SIZE,FS,SIZE,FILE_COUNT,DISK_GEOMETRY,NO_SET,FILE_SIZE,SEED,DISK_SIZE,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,ctx,3795584,0,0,0,0,0,0,640,782.473591
34,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,heap,3795584,0,0,0,0,0,0,784,782.473622
34,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,usage,3795584,0,0,0,0,0,0,13631488,782.473653
38,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,write,499712,474562803206,21959,10752,474562803206,1678660,44040192,19475155982844,4512.699360
38,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,stack,499712,0,0,0,0,0,0,2288,4512.699425
38,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,ctx,499712,0,0,0,0,0,0,640,4512.699456
38,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,heap,499712,0,0,0,0,0,0,784,4512.699481
38,bench_p26_wt,bench_p26_wt_many,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,usage,499712,0,0,0,0,0,0,4194304,4512.699504
47,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,write,20288,6561694,13077,80128,6561694,3235945,328204288,3611208732539,1.823378
47,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,stack,20288,0,0,0,0,0,0,1664,1.823481
47,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,ctx,20288,0,0,0,0,0,0,400,1.823534
47,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,heap,20288,0,0,0,0,0,0,784,1.823579
47,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,usage,20288,0,0,0,0,0,0,3145728,1.823623
46,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,write,40064,25406888,50003,79616,25406888,12580105,326107136,3603875893995,2.359218
46,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,stack,40064,0,0,0,0,0,0,1664,2.359318
46,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,ctx,40064,0,0,0,0,0,0,400,2.359371
46,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,heap,40064,0,0,0,0,0,0,784,2.359416
46,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,usage,40064,0,0,0,0,0,0,1572864,2.359461
45,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,write,78464,97211888,189878,78208,97211888,48176905,320339968,3600034229547,4.498715
45,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,stack,78464,0,0,0,0,0,0,1664,4.498815
45,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,ctx,78464,0,0,0,0,0,0,400,4.498866
45,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,heap,78464,0,0,0,0,0,0,784,4.498923
45,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,usage,78464,0,0,0,0,0,0,786432,4.498965
43,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,write,298304,292149059,572674,74592,292149059,144779967,305528832,3600119432357,6.270688
43,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,stack,298304,0,0,0,0,0,0,1856,6.270779
43,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,ctx,298304,0,0,0,0,0,0,400,6.270829
43,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,heap,298304,0,0,0,0,0,0,784,6.270873
43,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,usage,298304,0,0,0,0,0,0,458752,6.270914
44,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,write,150016,277311681,539123,74912,277311681,137172694,306839552,3600356274442,6.504633
44,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,stack,150016,0,0,0,0,0,0,1760,6.504702
44,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,ctx,150016,0,0,0,0,0,0,400,6.504735
44,bench_p26_wt,bench_p26_wt_logging,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,heap,150016,0,0,0,0,0,0,784,6.504763
