i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_many,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,492416,0,0,0,0,0,0,11534336,34.332263
35,bench_p26_wt,bench_p26_wt_many,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,41.461203
35,bench_p26_wt,bench_p26_wt_many,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,638976,0,0,0,0,0,0,2288,41.461303
35,bench_p26_wt,bench_p26_wt_many,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,638976,0,0,0,0,0,0,640,41.461353
35,bench_p26_wt,bench_p26_wt_many,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,638976,0,0,0,0,0,0,1552,41.461396
35,bench_p26_wt,bench_p26_wt_many,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,638976,0,0,0,0,0,0,8912896,41.461437
38,bench_p26_wt,bench_p26_wt_many,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,259264,410212075,8266,96,5393817448,4232192,12582912,10186188951736,43.755400
38,bench_p26_wt,bench_p26_wt_many,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,259264,0,0,0,0,0,0,2288,43.755487
38,bench_p26_wt,bench_p26_wt_many,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,259264,0,0,0,0,0,0,640,43.755531
38,bench_p26_wt,bench_p26_wt_many,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,259264,0,0,0,0,0,0,1552,43.755564
38,bench_p26_wt,bench_p26_wt_many,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,259264,0,0,0,0,0,0,4194304,43.755595
33,bench_p26_wt,bench_p26_wt_many,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,775744,140987979,39623,769,6554312842,20286976,25198592,3600115991614,43.894566
33,bench_p26_wt,bench_p26_wt_many,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,775744,0,0,0,0,0,0,2288,43.894641
33,bench_p26_wt,bench_p26_wt_many,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,775744,0,0,0,0,0,0,640,43.894682
33,bench_p26_wt,bench_p26_wt_many,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,775744,0,0,0,0,0,0,1552,43.894715
33,bench_p26_wt,bench_p26_wt_many,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,775744,0,0,0,0,0,0,4587520,43.894743
32,bench_p26_wt,bench_p26_wt_many,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,1228480,134848429,59871,2303,14266709828,30653952,37732352,3601210016780,62.684565
32,bench_p26_wt,bench_p26_wt_many,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,1228480,0,0,0,0,0,0,2288,62.684648
32,bench_p26_wt,bench_p26_wt_many,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,1228480,0,0,0,0,0,0,640,62.684686
32,bench_p26_wt,bench_p26_wt_many,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,1228480,0,0,0,0,0,0,1552,62.684717
32,bench_p26_wt,bench_p26_wt_many,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,1228480,0,0,0,0,0,0,7012352,62.684747
31,bench_p26_wt,bench_p26_wt_many,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,1620992,127327240,73696,5597,23749554256,37732352,45850624,3600253842928,102.185999
31,bench_p26_wt,bench_p26_wt_many,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,1620992,0,0,0,0,0,0,2288,102.186075
31,bench_p26_wt,bench_p26_wt_many,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,1620992,0,0,0,0,0,0,640,102.186110
31,bench_p26_wt,bench_p26_wt_many,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,1620992,0,0,0,0,0,0,1552,102.186137
31,bench_p26_wt,bench_p26_wt_many,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,1620992,0,0,0,0,0,0,8716288,102.186165
30,bench_p26_wt,bench_p26_wt_many,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,1804096,122089387,76493,11488,30475945194,39164416,47054848,3600073915230,118.498469
30,bench_p26_wt,bench_p26_wt_many,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,1804096,0,0,0,0,0,0,2288,118.498551
30,bench_p26_wt,bench_p26_wt_many,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,1804096,0,0,0,0,0,0,640,118.506931
30,bench_p26_wt,bench_p26_wt_many,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,1804096,0,0,0,0,0,0,1552,118.507002
30,bench_p26_wt,bench_p26_wt_many,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,1804096,0,0,0,0,0,0,9404416,118.507050
39,bench_p26_wt,bench_p26_wt_logging,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,66757120,76307635,5867676,1470602,5850439033,3004250112,6023585792,3600003373051,102.504828
39,bench_p26_wt,bench_p26_wt_logging,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,66757120,0,0,0,0,0,0,2016,102.504934
39,bench_p26_wt,bench_p26_wt_logging,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,66757120,0,0,0,0,0,0,400,102.504987
39,bench_p26_wt,bench_p26_wt_logging,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,66757120,0,0,0,0,0,0,1552,102.505033
39,bench_p26_wt,bench_p26_wt_logging,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,66757120,0,0,0,0,0,0,3874816,102.505076
41,bench_p26_wt,bench_p26_wt_logging,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,32024704,41235140,8813697,517700,9025427815,4512612864,8481996800,3600002603173,162.907861
41,bench_p26_wt,bench_p26_wt_logging,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,32024704,0,0,0,0,0,0,2016,162.907973
41,bench_p26_wt,bench_p26_wt_logging,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,32024704,0,0,0,0,0,0,400,162.908022
