i,suite,case,NO_SET,BLOCK_SIZE,SIZE,FILE_COUNT,CHUNK,DISK_SIZE,FILE_SIZE,SEED,SIM_SIZE,FS,SIM_TIME,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_many,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,27018112,135933719,582494,19149,5441108845,298236928,313737216,3600000326935,49.839996
32,bench_p26_wt,bench_p26_wt_many,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,27018112,0,0,0,0,0,0,3248,49.840097
32,bench_p26_wt,bench_p26_wt_many,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,27018112,0,0,0,0,0,0,848,49.840147
32,bench_p26_wt,bench_p26_wt_many,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,27018112,0,0,0,0,0,0,1296,49.840191
32,bench_p26_wt,bench_p26_wt_many,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,27018112,0,0,0,0,0,0,32473088,49.840234
31,bench_p26_wt,bench_p26_wt_many,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,28604224,136535349,634499,42956,3922447919,324863488,351895552,3600003469181,50.178261
31,bench_p26_wt,bench_p26_wt_many,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,28604224,0,0,0,0,0,0,3248,50.178363
31,bench_p26_wt,bench_p26_wt_many,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,28604224,0,0,0,0,0,0,848,50.186635
31,bench_p26_wt,bench_p26_wt_many,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,28604224,0,0,0,0,0,0,1296,50.186688
31,bench_p26_wt,bench_p26_wt_many,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,28604224,0,0,0,0,0,0,32309248,50.186744
34,bench_p26_wt,bench_p26_wt_many,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,18537088,133787552,385528,3142,10995366409,197390336,205914112,3600040451755,74.641472
34,bench_p26_wt,bench_p26_wt_many,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,18537088,0,0,0,0,0,0,3312,74.641571
34,bench_p26_wt,bench_p26_wt_many,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,18537088,0,0,0,0,0,0,848,74.641620
34,bench_p26_wt,bench_p26_wt_many,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,18537088,0,0,0,0,0,0,1296,74.641664
34,bench_p26_wt,bench_p26_wt_many,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,18537088,0,0,0,0,0,0,34471936,74.641706
33,bench_p26_wt,bench_p26_wt_many,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,23505920,134949139,499119,8114,7891856360,255548928,265879552,3600006810680,75.808731
33,bench_p26_wt,bench_p26_wt_many,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,23505920,0,0,0,0,0,0,3312,75.808825
33,bench_p26_wt,bench_p26_wt_many,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,23505920,0,0,0,0,0,0,848,75.808873
33,bench_p26_wt,bench_p26_wt_many,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,23505920,0,0,0,0,0,0,1296,75.808913
33,bench_p26_wt,bench_p26_wt_many,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,23505920,0,0,0,0,0,0,33161216,75.808951
35,bench_p26_wt,bench_p26_wt_many,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,13886336,131426228,288678,1183,15411009979,147803136,155058176,3600002231521,102.114344
35,bench_p26_wt,bench_p26_wt_many,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,13886336,0,0,0,0,0,0,3312,102.114437
35,bench_p26_wt,bench_p26_wt_many,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,13886336,0,0,0,0,0,0,848,102.114481
35,bench_p26_wt,bench_p26_wt_many,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,13886336,0,0,0,0,0,0,1296,102.114520
35,bench_p26_wt,bench_p26_wt_many,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,13886336,0,0,0,0,0,0,34340864,102.114556
37,bench_p26_wt,bench_p26_wt_many,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4553984,127348633,96657,440,23386298407,49488384,57671680,3600015360229,134.074769
37,bench_p26_wt,bench_p26_wt_many,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4553984,0,0,0,0,0,0,3312,134.074858
37,bench_p26_wt,bench_p26_wt_many,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4553984,0,0,0,0,0,0,848,134.074899
