i,suite,case,SIM_SIZE,FILE_SIZE,NO_FRUNCATE,DISK_GEOMETRY,FILE_COUNT,FS,NO_SET,SKIP_WARMUP,SIM_TIME,SEED,SIZE,CHUNK,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
39,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,16.440688
39,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,stack,7800256,0,0,0,0,0,0,3296,16.440797
39,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,ctx,7800256,0,0,0,0,0,0,608,16.440848
39,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,heap,7800256,0,0,0,0,0,0,784,16.440892
39,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,usage,7800256,0,0,0,0,0,0,4820992,16.440935
38,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,write,7947968,808047921,2057321,60900,808047921,218399334,249446400,3600081391674,16.467321
38,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,stack,7947968,0,0,0,0,0,0,3248,16.467395
38,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,ctx,7947968,0,0,0,0,0,0,608,16.467440
38,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,heap,7947968,0,0,0,0,0,0,784,16.467475
38,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,usage,7947968,0,0,0,0,0,0,2400256,16.467509
40,bench_p26_wt,bench_p26_wt_random,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,write,7782080,857588379,2004570,61326,857588379,216905029,251191296,3600096893527,13.031403
40,bench_p26_wt,bench_p26_wt_random,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,stack,7782080,0,0,0,0,0,0,3248,13.031498
40,bench_p26_wt,bench_p26_wt_random,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,ctx,7782080,0,0,0,0,0,0,608,13.031539
40,bench_p26_wt,bench_p26_wt_random,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,heap,7782080,0,0,0,0,0,0,784,13.031572
40,bench_p26_wt,bench_p26_wt_random,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,usage,7782080,0,0,0,0,0,0,9601024,13.031601
41,bench_p26_wt,bench_p26_wt_random,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,write,7681472,892038880,1944481,61833,892038880,213975348,253267968,3600190276828,12.666686
41,bench_p26_wt,bench_p26_wt_random,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,stack,7681472,0,0,0,0,0,0,3296,12.666835
41,bench_p26_wt,bench_p26_wt_random,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,ctx,7681472,0,0,0,0,0,0,608,12.666875
41,bench_p26_wt,bench_p26_wt_random,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,heap,7681472,0,0,0,0,0,0,784,12.666907
41,bench_p26_wt,bench_p26_wt_random,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,usage,7681472,0,0,0,0,0,0,18980864,12.666937
42,bench_p26_wt,bench_p26_wt_random,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,write,7553216,925880511,1958079,61683,925880511,203998794,252653568,3600045529686,11.891915
