i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,usage,1407104,0,0,0,0,0,0,12886388,166.429475
28,bench_p26_wt,bench_p26_wt_random,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,write,3593152,70708408064,980991,8417,70708408064,33608319,34476032,3600250535021,166.573407
28,bench_p26_wt,bench_p26_wt_random,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,stack,3593152,0,0,0,0,0,0,1312,166.573516
28,bench_p26_wt,bench_p26_wt_random,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,ctx,3593152,0,0,0,0,0,0,352,166.573570
28,bench_p26_wt,bench_p26_wt_random,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,heap,3593152,0,0,0,0,0,0,1160,166.573614
28,bench_p26_wt,bench_p26_wt_random,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,usage,3593152,0,0,0,0,0,0,12820933,166.573655
29,bench_p26_wt,bench_p26_wt_random,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,write,3595840,70708391936,980447,8417,70708391936,33607533,34476032,3600032205335,166.649153
29,bench_p26_wt,bench_p26_wt_random,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,stack,3595840,0,0,0,0,0,0,1312,166.649252
29,bench_p26_wt,bench_p26_wt_random,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,ctx,3595840,0,0,0,0,0,0,352,166.649298
29,bench_p26_wt,bench_p26_wt_random,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,heap,3595840,0,0,0,0,0,0,1160,166.649339
29,bench_p26_wt,bench_p26_wt_random,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,usage,3595840,0,0,0,0,0,0,12821921,166.649378
32,bench_p26_wt,bench_p26_wt_random,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,write,3570688,70725118720,980029,8413,70725118720,33596864,34459648,3600353825856,167.080020
32,bench_p26_wt,bench_p26_wt_random,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,stack,3570688,0,0,0,0,0,0,1312,167.080124
32,bench_p26_wt,bench_p26_wt_random,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,ctx,3570688,0,0,0,0,0,0,352,167.080177
32,bench_p26_wt,bench_p26_wt_random,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,heap,3570688,0,0,0,0,0,0,1160,167.080217
32,bench_p26_wt,bench_p26_wt_random,4,42,0,256,16384,0,3600000000000,64,0,64,0,134217728,usage,3570688,0,0,0,0,0,0,12836494,167.080257
39,bench_p26_wt,bench_p26_wt_random,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,write,871872,83177817600,324153,3184,83177817600,14745948,13041664,3600371289300,167.285745
39,bench_p26_wt,bench_p26_wt_random,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,stack,871872,0,0,0,0,0,0,1312,167.285850
39,bench_p26_wt,bench_p26_wt_random,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,ctx,871872,0,0,0,0,0,0,352,167.285901
39,bench_p26_wt,bench_p26_wt_random,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,heap,871872,0,0,0,0,0,0,1160,167.285944
39,bench_p26_wt,bench_p26_wt_random,4,42,0,32768,2097152,0,3600000000000,64,0,64,0,134217728,usage,871872,0,0,0,0,0,0,14951308,167.285985
31,bench_p26_wt,bench_p26_wt_random,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,write,3583680,70708423936,981045,8417,70708423936,33607618,34476032,3600272763494,167.454873
31,bench_p26_wt,bench_p26_wt_random,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,stack,3583680,0,0,0,0,0,0,1312,167.454967
31,bench_p26_wt,bench_p26_wt_random,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,ctx,3583680,0,0,0,0,0,0,352,167.455016
31,bench_p26_wt,bench_p26_wt_random,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,heap,3583680,0,0,0,0,0,0,1160,167.455056
31,bench_p26_wt,bench_p26_wt_random,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,usage,3583680,0,0,0,0,0,0,12828096,167.455094
42,bench_p26_wt,bench_p26_wt_random,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,write,4032,74283578368,662516,8808,74283578368,51080903,36077568,3633753035973,93.226372
42,bench_p26_wt,bench_p26_wt_random,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,stack,4032,0,0,0,0,0,0,1312,93.226478
42,bench_p26_wt,bench_p26_wt_random,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,ctx,4032,0,0,0,0,0,0,352,93.226520
42,bench_p26_wt,bench_p26_wt_random,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,heap,4032,0,0,0,0,0,0,1160,93.226554
42,bench_p26_wt,bench_p26_wt_random,4,42,0,262144,16777216,0,3600000000000,64,0,64,0,134217728,usage,4032,0,0,0,0,0,0,29402784,93.226584
40,bench_p26_wt,bench_p26_wt_random,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,write,731648,81811097600,370403,3983,81811097600,19981840,16314368,3600261817392,90.650461
40,bench_p26_wt,bench_p26_wt_random,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,stack,731648,0,0,0,0,0,0,1312,90.650544
40,bench_p26_wt,bench_p26_wt_random,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,ctx,731648,0,0,0,0,0,0,352,90.650584
40,bench_p26_wt,bench_p26_wt_random,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,heap,731648,0,0,0,0,0,0,1160,90.650616
40,bench_p26_wt,bench_p26_wt_random,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,usage,731648,0,0,0,0,0,0,17082918,90.650648
41,bench_p26_wt,bench_p26_wt_random,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,write,471104,78954354688,469508,5635,78954354688,30672941,23080960,3600187696983,92.157483
41,bench_p26_wt,bench_p26_wt_random,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,stack,471104,0,0,0,0,0,0,1312,92.157560
