i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
39,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,25.666627
39,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,stack,18368,0,0,0,0,0,0,1984,25.666727
39,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,ctx,18368,0,0,0,0,0,0,384,25.666778
39,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,heap,18368,0,0,0,0,0,0,784,25.666823
39,bench_p26_wt,bench_p26_wt_random,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,usage,18368,0,0,0,0,0,0,2101248,25.666865
34,bench_p26_wt,bench_p26_wt_random,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,write,483392,528912338,1030334,70285,528912338,263109790,287887360,3601151599242,26.806601
34,bench_p26_wt,bench_p26_wt_random,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,stack,483392,0,0,0,0,0,0,1984,26.806704
34,bench_p26_wt,bench_p26_wt_random,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,ctx,483392,0,0,0,0,0,0,384,26.806754
34,bench_p26_wt,bench_p26_wt_random,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,heap,483392,0,0,0,0,0,0,784,26.806798
34,bench_p26_wt,bench_p26_wt_random,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,usage,483392,0,0,0,0,0,0,86016,26.806839
