i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,usage,5197248,0,0,0,0,0,0,393216,448.446325
38,bench_p26_wt,bench_p26_wt_random,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,write,592960,21495547,10678463,47049,10937066201,5467373056,6166806528,3600539058203,457.579444
38,bench_p26_wt,bench_p26_wt_random,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,stack,592960,0,0,0,0,0,0,1840,457.579556
38,bench_p26_wt,bench_p26_wt_random,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,ctx,592960,0,0,0,0,0,0,384,457.579611
38,bench_p26_wt,bench_p26_wt_random,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,heap,592960,0,0,0,0,0,0,1552,457.579658
38,bench_p26_wt,bench_p26_wt_random,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,usage,592960,0,0,0,0,0,0,1441792,457.579702
37,bench_p26_wt,bench_p26_wt_random,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,write,1061696,21402677,10635291,54163,10894837269,5445268992,7099252736,3600234268047,464.793855
37,bench_p26_wt,bench_p26_wt_random,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,stack,1061696,0,0,0,0,0,0,1840,464.793969
37,bench_p26_wt,bench_p26_wt_random,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,ctx,1061696,0,0,0,0,0,0,384,464.794020
37,bench_p26_wt,bench_p26_wt_random,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,heap,1061696,0,0,0,0,0,0,1552,464.794065
37,bench_p26_wt,bench_p26_wt_random,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,usage,1061696,0,0,0,0,0,0,917504,464.794108
36,bench_p26_wt,bench_p26_wt_random,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,write,1758208,21254308,10558372,66865,10818666856,5405886464,8764129280,3600146920120,471.081731
36,bench_p26_wt,bench_p26_wt_random,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,stack,1758208,0,0,0,0,0,0,1840,471.081840
36,bench_p26_wt,bench_p26_wt_random,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,ctx,1758208,0,0,0,0,0,0,384,471.081891
36,bench_p26_wt,bench_p26_wt_random,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,heap,1758208,0,0,0,0,0,0,1552,471.081950
36,bench_p26_wt,bench_p26_wt_random,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,usage,1758208,0,0,0,0,0,0,655360,471.081995
39,bench_p26_wt,bench_p26_wt_random,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,write,318016,21571114,10701957,43010,10959339403,5479401984,5637406720,3600977053009,481.338788
39,bench_p26_wt,bench_p26_wt_random,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,stack,318016,0,0,0,0,0,0,1840,481.338903
39,bench_p26_wt,bench_p26_wt_random,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,ctx,318016,0,0,0,0,0,0,384,481.338969
39,bench_p26_wt,bench_p26_wt_random,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,heap,318016,0,0,0,0,0,0,1552,481.339014
39,bench_p26_wt,bench_p26_wt_random,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,usage,318016,0,0,0,0,0,0,2490368,481.339059
40,bench_p26_wt,bench_p26_wt_random,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,write,164096,21646544,10714076,42018,10969433183,5485606912,5507383296,3604218149645,438.080867
40,bench_p26_wt,bench_p26_wt_random,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,stack,164096,0,0,0,0,0,0,1840,438.080957
40,bench_p26_wt,bench_p26_wt_random,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,ctx,164096,0,0,0,0,0,0,384,438.081000
40,bench_p26_wt,bench_p26_wt_random,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,heap,164096,0,0,0,0,0,0,1552,438.081037
40,bench_p26_wt,bench_p26_wt_random,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,usage,164096,0,0,0,0,0,0,4456448,438.081072
41,bench_p26_wt,bench_p26_wt_random,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,write,83456,21695053,10712894,41972,10964073454,5485001728,5501353984,3604911204010,391.764859
41,bench_p26_wt,bench_p26_wt_random,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,stack,83456,0,0,0,0,0,0,1840,391.764941
41,bench_p26_wt,bench_p26_wt_random,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,ctx,83456,0,0,0,0,0,0,384,391.764979
41,bench_p26_wt,bench_p26_wt_random,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,heap,83456,0,0,0,0,0,0,1552,391.765009
41,bench_p26_wt,bench_p26_wt_random,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,usage,83456,0,0,0,0,0,0,8650752,391.765037
