i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,heap,19072,0,0,0,0,0,0,1160,136.755352
35,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,usage,19072,0,0,0,0,0,0,205149501,136.755390
28,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,write,1695360,83979293104,203939,3534,83979293104,12047150,14475264,3600027574506,151.925010
28,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,stack,1695360,0,0,0,0,0,0,1520,151.925101
28,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,ctx,1695360,0,0,0,0,0,0,592,151.925141
28,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,heap,1695360,0,0,0,0,0,0,1160,151.925175
28,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,usage,1695360,0,0,0,0,0,0,10598017,151.925205
31,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,write,231360,89239346221,23184,484,89239346221,1441362,1982464,3600657151774,162.919010
31,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,stack,231360,0,0,0,0,0,0,1520,162.919090
31,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,ctx,231360,0,0,0,0,0,0,592,162.919126
31,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,heap,231360,0,0,0,0,0,0,1160,162.919157
31,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,usage,231360,0,0,0,0,0,0,14505473,162.919185
33,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,write,60544,89889317407,5869,128,89889317407,368502,524288,3603687877018,172.319737
33,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,stack,60544,0,0,0,0,0,0,1520,172.319830
33,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,ctx,60544,0,0,0,0,0,0,592,172.319877
33,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,heap,60544,0,0,0,0,0,0,1160,172.319908
33,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,usage,60544,0,0,0,0,0,0,51717217,172.319937
34,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,write,32832,90145527711,3169,71,90145527711,199174,290816,3610287802954,173.105193
34,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,stack,32832,0,0,0,0,0,0,1520,173.105256
34,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,ctx,32832,0,0,0,0,0,0,592,173.105286
34,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,heap,32832,0,0,0,0,0,0,1160,173.105310
34,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,usage,32832,0,0,0,0,0,0,102756913,173.105332
36,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,write,17550208,31460185815,2726384,27719,31460185815,180272205,113537024,3600052927311,27.609066
36,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,stack,17550208,0,0,0,0,0,0,1648,27.609188
36,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,ctx,17550208,0,0,0,0,0,0,384,27.609256
36,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,heap,17550208,0,0,0,0,0,0,1160,27.609302
36,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,usage,17550208,0,0,0,0,0,0,4526510,27.609344
37,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,write,15793280,45971288157,2049383,20856,45971288157,145931917,85426176,3600131723263,76.717960
37,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,stack,15793280,0,0,0,0,0,0,1344,76.718080
37,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,ctx,15793280,0,0,0,0,0,0,384,76.718141
37,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,heap,15793280,0,0,0,0,0,0,1160,76.718187
37,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,usage,15793280,0,0,0,0,0,0,6473846,76.718231
38,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,write,10485760,60778599639,1361012,13848,60778599639,96906214,56721408,3600705601450,84.191039
38,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,stack,10485760,0,0,0,0,0,0,1344,84.191157
38,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,ctx,10485760,0,0,0,0,0,0,384,84.191213
38,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,heap,10485760,0,0,0,0,0,0,1160,84.191256
38,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,usage,10485760,0,0,0,0,0,0,8545411,84.191296
39,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,write,6307456,72489598692,811475,8331,72489598692,58224014,34123776,3600267875882,92.339481
39,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,stack,6307456,0,0,0,0,0,0,1344,92.339588
39,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,ctx,6307456,0,0,0,0,0,0,384,92.339639
39,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,heap,6307456,0,0,0,0,0,0,1160,92.339680
39,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,usage,6307456,0,0,0,0,0,0,14967857,92.339718
40,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,write,3609152,80186597726,444624,4768,80186597726,33280604,19529728,3600556344196,102.867584
40,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,stack,3609152,0,0,0,0,0,0,1344,102.867694
40,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,ctx,3609152,0,0,0,0,0,0,384,102.867742
40,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,heap,3609152,0,0,0,0,0,0,1160,102.867780
40,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,usage,3609152,0,0,0,0,0,0,29300677,102.867815
41,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,write,1909632,84806875904,235262,2524,84806875904,17611657,10338304,3600321178923,110.389731
41,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,stack,1909632,0,0,0,0,0,0,1344,110.389807
41,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,ctx,1909632,0,0,0,0,0,0,384,110.389844
41,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,heap,1909632,0,0,0,0,0,0,1160,110.389873
41,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,usage,1909632,0,0,0,0,0,0,53197488,110.389900
42,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,write,981824,87333452288,120863,1299,87333452288,9030561,5320704,3600323596787,120.111089
42,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,stack,981824,0,0,0,0,0,0,1344,120.111174
42,bench_p26_wt,bench_p26_wt_logging,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,ctx,981824,0,0,0,0,0,0,384,120.111226
