i,suite,case,NO_FRUNCATE,FILE_SIZE,SEED,DISK_GEOMETRY,FS,DISK_SIZE,FILE_COUNT,SIM_SIZE,SIM_TIME,SIZE,SKIP_WARMUP,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,heap,9997056,0,0,0,0,0,0,8445604,60.920411
34,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,usage,9997056,0,0,0,0,0,0,70713488,60.920439
38,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,write,10004864,160077824,1146270,69544,160077824,293445120,284852224,3600019825664,63.484092
38,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,stack,10004864,0,0,0,0,0,0,8960,63.484167
38,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,ctx,10004864,0,0,0,0,0,0,7424,63.484197
38,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,heap,10004864,0,0,0,0,0,0,18110516,63.484221
38,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,usage,10004864,0,0,0,0,0,0,582875520,63.484272
41,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,write,14411968,124633600,1120940,69804,124633600,286960640,285917184,3600043259904,0.858092
41,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,stack,14411968,0,0,0,0,0,0,8768,0.858274
41,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,ctx,14411968,0,0,0,0,0,0,7232,0.858371
41,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,heap,14411968,0,0,0,0,0,0,305204,0.858424
41,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,usage,14411968,0,0,0,0,0,0,12649056,0.858475
39,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,write,12695296,139300864,1119174,69806,139300864,286508544,285925376,3600004731904,1.169867
39,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,stack,12695296,0,0,0,0,0,0,8944,1.170342
39,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,ctx,12695296,0,0,0,0,0,0,7232,1.170574
39,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,heap,12695296,0,0,0,0,0,0,105380,1.170666
39,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,usage,12695296,0,0,0,0,0,0,4458560,1.170731
40,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,write,13845440,129474048,1120358,69804,129474048,286811648,285917184,3600001172480,1.188644
40,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,stack,13845440,0,0,0,0,0,0,8944,1.189028
40,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,ctx,13845440,0,0,0,0,0,0,7232,1.189133
40,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,heap,13845440,0,0,0,0,0,0,163892,1.189202
40,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,usage,13845440,0,0,0,0,0,0,7795168,1.189255
42,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,write,14949184,119613952,1119574,69820,119613952,286610944,285982720,3600009233408,1.552691
42,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,stack,14949184,0,0,0,0,0,0,8944,1.552853
42,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,ctx,14949184,0,0,0,0,0,0,7232,1.552924
42,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,heap,14949184,0,0,0,0,0,0,587828,1.552970
42,bench_p26_wt,bench_p26_wt_logging,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,usage,14949184,0,0,0,0,0,0,19562368,1.553010
