i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,stack,257387904,0,0,0,0,0,0,8960,1431.755082
37,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,ctx,257387904,0,0,0,0,0,0,7424,1431.755160
37,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,heap,257387904,0,0,0,0,0,0,8553716,1431.755222
37,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,usage,257387904,0,0,0,0,0,0,147364144,1431.755279
35,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,write,257331584,8044145,12437814,48521,4118602240,6368160768,6359744512,3600000027136,1451.247404
35,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,stack,257331584,0,0,0,0,0,0,8960,1451.247526
35,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,ctx,257331584,0,0,0,0,0,0,7424,1451.247582
35,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,heap,257331584,0,0,0,0,0,0,8059124,1451.247627
35,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,usage,257331584,0,0,0,0,0,0,64431408,1451.247669
36,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,write,257387392,8043364,12437912,48522,4118202368,6368210944,6359875584,3600000641024,1453.872944
36,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,stack,257387392,0,0,0,0,0,0,8960,1453.873071
36,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,ctx,257387392,0,0,0,0,0,0,7424,1453.873167
36,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,heap,257387392,0,0,0,0,0,0,8223988,1453.873229
36,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,usage,257387392,0,0,0,0,0,0,92074496,1453.873289
34,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,write,254295040,8086330,12432406,48499,4140200960,6365391872,6356860928,3600000057344,1489.737367
34,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,stack,254295040,0,0,0,0,0,0,8960,1489.737461
34,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,ctx,254295040,0,0,0,0,0,0,7424,1489.737504
34,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,heap,254295040,0,0,0,0,0,0,7976692,1489.737539
34,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,usage,254295040,0,0,0,0,0,0,50548112,1489.737575
38,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,write,257387776,8043369,12437923,48521,4118204928,6368216576,6359744512,3600001701888,1497.571558
38,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,stack,257387776,0,0,0,0,0,0,8960,1497.571641
38,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,ctx,257387776,0,0,0,0,0,0,7424,1497.571677
38,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,heap,257387776,0,0,0,0,0,0,9213172,1497.571705
38,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,usage,257387776,0,0,0,0,0,0,258193920,1497.571731
40,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,write,338959488,6483249,12637746,49359,3319423488,6470525952,6469582848,3600001774080,10.983316
40,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,stack,338959488,0,0,0,0,0,0,8944,10.983531
40,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,ctx,338959488,0,0,0,0,0,0,7232,10.983653
40,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,heap,338959488,0,0,0,0,0,0,84596,10.983727
40,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,usage,338959488,0,0,0,0,0,0,5918800,10.983788
43,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,write,377388480,5897767,12712892,49652,3019656704,6509000704,6507986944,3600000160256,13.258759
43,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,stack,377388480,0,0,0,0,0,0,8944,13.258946
43,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,ctx,377388480,0,0,0,0,0,0,7232,13.259030
43,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,heap,377388480,0,0,0,0,0,0,156724,13.259094
43,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,usage,377388480,0,0,0,0,0,0,18639936,13.259151
44,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,write,377388672,5897770,12712899,49651,3019658240,6509004288,6507855872,3600000114176,13.360235
44,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,stack,377388672,0,0,0,0,0,0,8944,13.360435
44,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,ctx,377388672,0,0,0,0,0,0,7232,13.360533
44,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,heap,377388672,0,0,0,0,0,0,239156,13.360591
44,bench_p26_wt,bench_p26_wt_logging,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,usage,377388672,0,0,0,0,0,0,32530672,13.360645
